positive,2020-11-01,2418
negative,2020-11-01,6526
neutral,2020-11-01,3079
positive,2020-11-02,2160
neutral,2020-11-02,3049
negative,2020-11-02,6246
neutral,2020-11-03,3361
positive,2020-11-03,2436
negative,2020-11-03,5986
negative,2020-11-04,6135
neutral,2020-11-04,3141
positive,2020-11-04,1950
neutral,2020-11-05,3350
positive,2020-11-05,2203
negative,2020-11-05,6063
negative,2020-11-06,6676
positive,2020-11-06,2584
neutral,2020-11-06,3644
neutral,2020-11-07,4822
negative,2020-11-07,8245
positive,2020-11-07,3846
negative,2020-11-08,6943
neutral,2020-11-08,4102
positive,2020-11-08,3171
negative,2020-11-09,6503
neutral,2020-11-09,4120
positive,2020-11-09,3128
positive,2020-11-10,2764
neutral,2020-11-10,3901
negative,2020-11-10,6555
neutral,2020-11-11,4518
negative,2020-11-11,7297
positive,2020-11-11,2894
neutral,2020-11-12,5670
positive,2020-11-12,3125
negative,2020-11-12,8089
neutral,2020-11-13,5668
negative,2020-11-13,9636
positive,2020-11-13,3515
negative,2020-11-14,8155
positive,2020-11-14,3616
neutral,2020-11-14,4475
negative,2020-11-15,8234
positive,2020-11-15,3109
neutral,2020-11-15,4212
negative,2020-11-16,8091
positive,2020-11-16,3218
neutral,2020-11-16,4459
positive,2020-11-17,3656
neutral,2020-11-17,4734
negative,2020-11-17,8955
negative,2020-11-18,9384
positive,2020-11-18,3856
neutral,2020-11-18,4969
positive,2020-11-19,3745
negative,2020-11-19,10464
neutral,2020-11-19,5371
positive,2020-11-20,4337
neutral,2020-11-20,5778
negative,2020-11-20,9799
neutral,2020-11-21,5165
positive,2020-11-21,3959
negative,2020-11-21,9317
neutral,2020-11-22,4756
negative,2020-11-22,8586
positive,2020-11-22,3505
neutral,2020-11-23,4554
positive,2020-11-23,3238
negative,2020-11-23,7932
negative,2020-11-24,7974
neutral,2020-11-24,4366
positive,2020-11-24,3424
negative,2020-11-25,8339
positive,2020-11-25,3861
neutral,2020-11-25,4516
neutral,2020-11-26,3839
negative,2020-11-26,6949
positive,2020-11-26,4555
negative,2020-11-27,5818
neutral,2020-11-27,3320
positive,2020-11-27,3012
neutral,2020-11-28,3771
negative,2020-11-28,6059
positive,2020-11-28,2716
neutral,2020-11-29,3760
positive,2020-11-29,2831
negative,2020-11-29,6747
negative,2020-11-30,6570
positive,2020-11-30,2826
neutral,2020-11-30,3857
positive,2020-12-01,3325
neutral,2020-12-01,4507
negative,2020-12-01,7448
negative,2020-12-02,863
neutral,2020-12-02,481
positive,2020-12-02,402
neutral,2020-12-04,3714
positive,2020-12-04,2794
negative,2020-12-04,6560
negative,2020-12-05,8325
positive,2020-12-05,3702
neutral,2020-12-05,4670
neutral,2020-12-06,4519
negative,2020-12-06,8301
positive,2020-12-06,3343
positive,2020-12-07,3197
negative,2020-12-07,7988
neutral,2020-12-07,4391
negative,2020-12-08,8962
neutral,2020-12-08,5182
positive,2020-12-08,3511
positive,2020-12-09,3470
negative,2020-12-09,8652
neutral,2020-12-09,5042
positive,2020-12-10,3380
neutral,2020-12-10,4825
negative,2020-12-10,8558
neutral,2020-12-12,4603
negative,2020-12-12,7096
positive,2020-12-12,3769
positive,2020-12-13,3640
negative,2020-12-13,7367
neutral,2020-12-13,4413
neutral,2020-12-14,4668
negative,2020-12-14,6982
positive,2020-12-14,3123
negative,2020-12-15,7050
neutral,2020-12-15,4917
positive,2020-12-15,3684
neutral,2020-12-16,4788
negative,2020-12-16,7847
positive,2020-12-16,3703
neutral,2020-12-17,4461
negative,2020-12-17,7296
positive,2020-12-17,3128
neutral,2020-12-18,4330
positive,2020-12-18,3201
negative,2020-12-18,8028
positive,2020-12-19,2557
neutral,2020-12-19,3940
negative,2020-12-19,7141
neutral,2020-12-20,3513
negative,2020-12-20,6635
positive,2020-12-20,2566
neutral,2020-12-21,3659
negative,2020-12-21,6829
positive,2020-12-21,2241
negative,2020-12-22,7182
positive,2020-12-22,2534
neutral,2020-12-22,3937
positive,2020-12-23,2845
neutral,2020-12-23,3911
negative,2020-12-23,7095
negative,2020-12-24,5640
neutral,2020-12-24,3005
positive,2020-12-24,2763
negative,2020-12-25,3738
neutral,2020-12-25,2071
positive,2020-12-25,2564
negative,2020-12-26,4081
positive,2020-12-26,1832
neutral,2020-12-26,2179
neutral,2020-12-27,2713
positive,2020-12-27,1784
negative,2020-12-27,5793
positive,2020-12-28,1892
negative,2020-12-28,5391
neutral,2020-12-28,3075
negative,2020-12-29,6116
positive,2020-12-29,2182
neutral,2020-12-29,3554
positive,2020-12-30,2527
negative,2020-12-30,7736
neutral,2020-12-30,4219
neutral,2020-12-31,3584
positive,2020-12-31,3105
negative,2020-12-31,6748
positive,2021-01-01,3357
negative,2021-01-01,5636
neutral,2021-01-01,3059
negative,2021-01-02,5426
positive,2021-01-02,1966
neutral,2021-01-02,2722
negative,2021-01-03,5334
positive,2021-01-03,1772
neutral,2021-01-03,2677
neutral,2021-01-04,2498
negative,2021-01-04,4251
positive,2021-01-04,1639
neutral,2021-01-05,3077
positive,2021-01-05,1984
negative,2021-01-05,5374
negative,2021-01-06,5854
positive,2021-01-06,2275
neutral,2021-01-06,3370
neutral,2021-01-07,2519
positive,2021-01-07,1579
negative,2021-01-07,4329
negative,2021-01-08,4221
positive,2021-01-08,1799
neutral,2021-01-08,2535
neutral,2021-01-09,2310
negative,2021-01-09,3786
positive,2021-01-09,1856
neutral,2021-01-10,2083
positive,2021-01-10,1549
negative,2021-01-10,3556
