neutral,2021-12-14,1842
positive,2021-12-14,1117
negative,2021-12-14,3127
neutral,2021-12-15,2174
negative,2021-12-15,3537
positive,2021-12-15,1269
positive,2021-12-16,1363
negative,2021-12-16,3841
neutral,2021-12-16,2384
negative,2021-12-17,5234
positive,2021-12-17,1840
neutral,2021-12-17,3083
positive,2021-12-18,1728
neutral,2021-12-18,3013
negative,2021-12-18,5022
neutral,2021-12-19,2608
positive,2021-12-19,1506
negative,2021-12-19,4588
neutral,2021-12-20,2536
positive,2021-12-20,1484
negative,2021-12-20,4585
neutral,2021-12-21,3311
negative,2021-12-21,5463
positive,2021-12-21,1763
positive,2021-12-22,1956
negative,2021-12-22,5550
neutral,2021-12-22,3407
negative,2021-12-23,5211
positive,2021-12-23,1961
neutral,2021-12-23,3123
negative,2021-12-24,5121
neutral,2021-12-24,2905
positive,2021-12-24,2089
neutral,2021-12-25,1781
negative,2021-12-25,3043
positive,2021-12-25,1738
neutral,2021-12-26,1957
positive,2021-12-26,1349
negative,2021-12-26,3482
negative,2021-12-27,4790
neutral,2021-12-27,2740
positive,2021-12-27,1681
positive,2021-12-28,1786
negative,2021-12-28,6218
neutral,2021-12-28,3623
neutral,2021-12-29,3460
positive,2021-12-29,1808
negative,2021-12-29,5597
negative,2021-12-30,5332
neutral,2021-12-30,3400
positive,2021-12-30,1863
neutral,2021-12-31,2735
negative,2021-12-31,4316
positive,2021-12-31,1681
negative,2022-01-01,3965
neutral,2022-01-01,2655
positive,2022-01-01,2073
neutral,2022-01-02,2030
positive,2022-01-02,1385
negative,2022-01-02,3662
positive,2022-01-03,1464
neutral,2022-01-03,2572
negative,2022-01-03,4438
negative,2022-01-04,4944
positive,2022-01-04,1573
neutral,2022-01-04,2699
neutral,2022-01-05,2754
negative,2022-01-05,4877
positive,2022-01-05,1631
neutral,2022-01-06,2706
positive,2022-01-06,1600
negative,2022-01-06,4628
negative,2022-01-07,3415
neutral,2022-01-07,1958
positive,2022-01-07,1157
negative,2022-01-08,2725
positive,2022-01-08,790
neutral,2022-01-08,1475
negative,2022-01-09,2259
neutral,2022-01-09,1180
positive,2022-01-09,659
negative,2022-01-10,2344
positive,2022-01-10,646
neutral,2022-01-10,1188
negative,2022-01-11,2256
neutral,2022-01-11,1281
positive,2022-01-11,724
neutral,2022-01-12,1259
negative,2022-01-12,2361
positive,2022-01-12,736
neutral,2022-01-13,1368
positive,2022-01-13,847
negative,2022-01-13,2598
negative,2022-01-14,2194
neutral,2022-01-14,1224
positive,2022-01-14,754
